Column1,Column2,Column3,Column3.4,Column4.1,Column3.1,Column4.3,Column3.3,Column4.2,Column5,Column3.2,Column4,Column3.5,Column4.4
,Content ID,User ID,Name,Age,Address,Email,Device,Duration,Datetime,Interests,Type,Sentiment,Score
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,5d454588-283d-459d-915d-c48a2cb4c27f,Richard Smith,6,"00358 Heather Gardens
Lake Heidiview, OH 42464",RS@gmail.com,Motorola,88,11/7/2020 9:43,['travel'],disgust,negative,0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,92b87fa5-f271-43e0-af66-84fac21052e6,Myrtis Clark,30,"0574 Elizabeth Road Suite 512
East Candiceville, ND 76242",MC@gmail.com,Huawei,11,6/17/2021 12:22,['cooking'],dislike,negative,10
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,163daa38-8b77-48c9-9af6-37a6c1447ac2,Helen Tuttle,5,"533 Joseph Isle Suite 449
Wardland, TX 97192",HT@gmail.com,Motorola,26,4/18/2021 5:13,"['studying', 'tennis', 'veganism', 'technology']",scared,negative,15
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,34e8add9-0206-47fd-a501-037b994650a2,Racheal Hart,17,"30254 Gregory Canyon Suite 734
West Sarah, MT 91811",RH@gmail.com,Microsoft,96,1/6/2021 19:13,"['studying', 'public speaking']",disgust,negative,0
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,9b6d35f9-5e15-4cd0-a8d7-b1f3340e02c4,Donna Valdovinos,23,"0090 Adams Viaduct
New Benjamin, VT 75869",DV@gmail.com,HTC,19,8/23/2020 12:25,"['animals', 'animals', 'dogs']",interested,positive,30
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,7918d465-0953-4f20-9e28-539e74c82e2f,Lesley Franich,5,"655 Jessica Valleys Apt. 029
Wilsonmouth, OH 61668",LF@gmail.com,Apple,79,12/7/2020 6:27,"['animals', 'dogs', 'travel']",peeking,neutral,35
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,fa3e42f0-71d8-455f-b024-e52d5c27a145,Dayna Walton,4,"1794 Robertson Loaf Suite 046
New Craigshire, GA 17333",DW@gmail.com,Motorola,35,4/11/2021 17:35,"['education', 'healthy eating', 'soccer', 'veganism']",cherish,positive,70
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,b0c22f82-b882-4394-bf27-6dfadf26e5c2,Anthony Keil,11,"6520 Mary Bridge Suite 490
North Juliashire, UT 32383",AK@gmail.com,HTC,31,1/27/2021 8:32,['studying'],hate,negative,5
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,1932a904-86ba-4438-bb52-b7e6516a4019,Louise Laramore,20,"209 Christina Valleys
West Jason, OK 13984",LL@gmail.com,Motorola,42,4/1/2021 22:54,['dogs'],peeking,neutral,35
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,f50ac030-3af8-4e07-aacf-dccff353b8f6,Andrea Fay,23,"4006 Joyce Field
South Blake, WV 44974",AF@gmail.com,Huawei,58,11/7/2020 8:36,['education'],indifferent,neutral,20
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,b09e3125-2162-443b-bea0-25895b7605bc,Deborah Hamm,42,"5130 Christine Parks
West Jaredstad, NE 51136",DH@gmail.com,Samsung,49,11/2/2020 6:28,['technology'],scared,negative,15
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,b143cd2b-20b1-4e9c-9bb7-cfb359b33d01,Judy Cobbley,36,"19989 Gina Burgs Suite 207
Johnsonmouth, NV 87900",JC@gmail.com,Samsung,44,11/1/2020 1:16,['soccer'],interested,positive,30
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,48e834aa-fd4a-4206-93e8-ac8fdac613bc,Marc Reed,3,"359 Deanna Vista Apt. 925
Tommyborough, TN 75663",MR@gmail.com,Samsung,6,10/7/2020 18:39,['travel'],hate,negative,5
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,7246fed1-8725-4dbb-bccd-5451346f122d,Candice Dickerson,19,"617 Douglas Turnpike
East Rebeccashire, WI 48819",CD@gmail.com,Apple,74,9/3/2020 18:51,"['food', 'healthy eating']",scared,negative,15
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,9664d628-9163-4aae-94e0-311f3bdb2f11,Anthony Dunkerson,42,"73298 Osborne Mountain
Tuckerfort, WV 57942",AD@gmail.com,Huawei,56,2/24/2021 5:09,"['travel', 'animals', 'education']",super love,positive,75
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,2dd186bb-7a28-4e80-99c7-f1936afc7b49,Benita Brady,16,"473 Ronald Manor
East Olivia, ME 99898",BB@gmail.com,Apple,66,9/23/2020 6:24,"['cooking', 'science', 'studying', 'culture']",peeking,neutral,35
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,f4ed8f9c-5eac-4d77-a206-c60afda2921a,Shirley Peredo,38,"526 Kimberly Center Suite 341
New Lisa, CO 12768",SP@gmail.com,HTC,60,2/24/2021 11:37,"['tennis', 'tennis']",indifferent,neutral,20
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,35d6a1f3-e358-4d4b-8074-05f3b7f35c2a,Oscar Gilman,32,"2846 Jones Field
Leeberg, ME 29721",OG@gmail.com,Motorola,67,11/20/2020 17:26,"['cooking', 'culture', 'studying', 'tennis']",peeking,neutral,35
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,c64c5004-6ab5-4faa-9fcd-8039fe57799d,Jeffery Pedrick,16,"9993 Marks Shoals
South Ronaldstad, NV 15604",JP@gmail.com,Google,38,4/11/2021 20:47,"['healthy eating', 'technology', 'science', 'education']",worried,negative,12
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,4cff698b-def1-497c-a78e-75058de67fe8,Sarah Lococo,38,"38904 Nguyen Lock Suite 118
Lake Robert, CA 25680",SL@gmail.com,Huawei,74,6/13/2021 16:46,['animals'],like,positive,50
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,0a1cde57-79ab-4c61-b664-1d3b290b43cf,Tara Cruz,14,"5003 Potter Alley
Lake Meredith, NH 92634",TC@gmail.com,Google,68,4/11/2021 14:29,['public speaking'],heart,positive,60
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,afab7336-04d3-45fe-8917-0327c56e7435,Angela Ivie,11,"668 Collins Drive
Aprilfort, ND 24342",AI@gmail.com,Motorola,16,3/2/2021 19:21,"['travel', 'cooking']",worried,negative,12
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,29ba1f29-2e45-41bd-9c43-05d0dae6c1c6,Katherine Riffle,36,"305 Gutierrez Forks
Mayborough, FL 20709",KR@gmail.com,Motorola,88,6/27/2020 18:44,['technology'],hate,negative,5
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,e74edcea-5db4-4412-a4ce-eb7c5adc314a,Jeanie Kirn,26,"644 Emily Burgs
South Paulstad, TX 93774",JK@gmail.com,Motorola,40,5/9/2021 21:05,"['food', 'healthy eating', 'soccer', 'technology']",hate,negative,5
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,69527334-c362-47df-87fc-5e2b5e2605e5,Gilbert Faire,38,"8905 Taylor Squares
Mahoneyview, OK 75053",GF@gmail.com,HTC,15,8/4/2020 23:58,"['travel', 'tennis']",cherish,positive,70
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,bc142f57-1307-46c6-9975-8c3a1e5f540c,Benjamin Peltier,19,"25502 Amy Square Apt. 092
Thompsonville, NM 47897",BP@gmail.com,HTC,27,8/28/2020 3:57,"['education', 'tennis']",super love,positive,75
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,d6204684-926d-41db-ae9c-a7bf2e76313a,Jeffery Zerbe,24,"41287 Miller Isle
Tylermouth, VT 38540",JZ@gmail.com,Motorola,99,4/20/2021 23:48,"['public speaking', 'dogs']",scared,negative,15
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,941db1b1-270d-47f8-8a96-43f5a7481f03,Dwight Jefferson,14,"70091 Davis Spurs
New Georgeborough, TX 29949",DJ@gmail.com,Motorola,86,3/7/2021 12:40,"['healthy eating', 'science', 'public speaking', 'veganism']",interested,positive,30
